id,date,debit_inn,credit_inn,amount,risk_score,rule_score,iso_score
,2022-01-18,d877722ca4e40f98,480b91025f5be8d0,4648.8,0.8530940898550747,1.0,0.5610396786410095
,2022-01-18,d877722ca4e40f98,480b91025f5be8d0,4648.8,0.8530940898550747,1.0,0.5610396786410095
,2022-01-18,d877722ca4e40f98,480b91025f5be8d0,4648.8,0.8530940898550747,1.0,0.5610396786410095
,2019-03-05,d877722ca4e40f98,ca3891c167141f4d,82.76,0.8529013325519111,1.0,0.5606150949652632
,2019-12-10,d877722ca4e40f98,a982dff7a672f998,1000.0,0.8524732637370114,1.0,0.5596721940846243
,2021-02-19,d877722ca4e40f98,a2495f5178d5a17d,29250.0,0.8523256023650871,1.0,0.5593469425531475
,2021-03-22,d877722ca4e40f98,683c3112f4fb5700,7359.0,0.8517076309287521,1.0,0.5579857459622058
,2020-08-05,d877722ca4e40f98,ed18d013d231f2d0,1500.0,0.8515408546021446,1.0,0.5576183902012756
,2022-03-18,d877722ca4e40f98,41face6c4b94dd88,295680.0,0.8509589720379586,1.0,0.556336686038061
,2022-01-11,d877722ca4e40f98,a982dff7a672f998,1000.0,0.8504488200729189,1.0,0.5552129818102531
,2021-07-12,d877722ca4e40f98,85ee5df9d37a27a6,150487.0,0.8504437081042312,1.0,0.5552017217520344
,2019-04-10,d877722ca4e40f98,a982dff7a672f998,2000.0,0.8503700795170512,1.0,0.5550395411463098
,2021-11-11,d877722ca4e40f98,cf603eadad6f36c6,5438.5,0.850300112271098,1.0,0.5548854253230384
,2021-09-03,d877722ca4e40f98,ed18d013d231f2d0,4000.0,0.8501938168104949,1.0,0.5546512898758345
,2020-05-27,d877722ca4e40f98,ed18d013d231f2d0,1500.0,0.8501169132561881,1.0,0.5544818955482026
,2022-02-09,d877722ca4e40f98,a982dff7a672f998,1000.0,0.8499140307105998,1.0,0.5540350091499342
,2021-03-18,d877722ca4e40f98,a2495f5178d5a17d,20800.0,0.8497565400924878,1.0,0.5536881068824918
,2021-02-19,d877722ca4e40f98,cf603eadad6f36c6,5438.5,0.8496676831703676,1.0,0.5534923830474404
,2022-04-22,d877722ca4e40f98,ac31ae518119510a,3000.0,0.8494504292796022,1.0,0.5530138410985889
,2020-12-21,d877722ca4e40f98,85ee5df9d37a27a6,23642.0,0.849327344921151,1.0,0.5527427249931008
,2019-06-18,d877722ca4e40f98,85ee5df9d37a27a6,150000.0,0.8483654610800921,1.0,0.5506239976080678
,2021-07-09,d877722ca4e40f98,41face6c4b94dd88,316800.0,0.8481642922769245,1.0,0.5501808860450162
,2019-12-26,d877722ca4e40f98,2da52242895cf5c0,50803.43,0.8470643736220433,1.0,0.5477581114064072
,2020-05-12,d877722ca4e40f98,85ee5df9d37a27a6,9954.0,0.8470622013211718,1.0,0.5477533265112374
,2021-08-19,d877722ca4e40f98,41face6c4b94dd88,327360.0,0.8466085768223718,1.0,0.5467541345016582
,2022-08-04,d877722ca4e40f98,ca3891c167141f4d,760.11,0.8465925576901948,1.0,0.5467188493948927
,2020-12-21,d877722ca4e40f98,85ee5df9d37a27a6,76358.0,0.8465279003957547,1.0,0.5465764297236966
,2020-09-28,d877722ca4e40f98,85ee5df9d37a27a6,50000.0,0.8463471611493609,1.0,0.546178318044782
,2021-07-08,d877722ca4e40f98,6931e23e98703aa9,26297591.0,0.8462491276982709,1.0,0.545962381204378
,2019-07-05,d877722ca4e40f98,ca3891c167141f4d,82.76,0.846205464687806,1.0,0.5458662053336171
,2020-11-05,d877722ca4e40f98,a4bb2adbd377d7b6,602.07,0.8460645022151163,1.0,0.5455557093689267
,2022-04-05,d877722ca4e40f98,cf603eadad6f36c6,5438.5,0.8459546051053198,1.0,0.5453136406220337
,2021-02-08,d877722ca4e40f98,a2495f5178d5a17d,16900.0,0.8458268231542003,1.0,0.5450321771982881
,2021-12-14,d877722ca4e40f98,41face6c4b94dd88,316800.0,0.8456956530356532,1.0,0.5447432507079983
,2020-06-19,d877722ca4e40f98,cf603eadad6f36c6,5445.28,0.845528211597334,1.0,0.5443744299152864
,2019-04-23,d877722ca4e40f98,85ee5df9d37a27a6,280000.0,0.84531742982246,1.0,0.5439101440008879
,2021-05-31,d877722ca4e40f98,032f0b4d2498f263,72054.79,0.8452087444053329,1.0,0.5436707442316105
,2020-12-14,d877722ca4e40f98,41face6c4b94dd88,316800.0,0.8451761860819904,1.0,0.5435990284917965
,2021-11-19,d877722ca4e40f98,7ad54077510c09e4,46500.78,0.8450655855087514,1.0,0.5433554102363286
,2020-10-20,d877722ca4e40f98,cf603eadad6f36c6,5445.28,0.8450361575504405,1.0,0.5432905897055144
,2020-02-05,d877722ca4e40f98,2da52242895cf5c0,85771.0,0.845015355421401,1.0,0.5432447691619292
,2020-11-24,d877722ca4e40f98,cf603eadad6f36c6,5445.28,0.8449810648566349,1.0,0.5431692378394174
,2021-10-20,d877722ca4e40f98,ac31ae518119510a,3000.0,0.8449723052269018,1.0,0.5431499431318797
,2019-12-11,8d9e0be733f77f1c,d877722ca4e40f98,5000.0,0.8449242139130848,1.0,0.5430440131024761
,2020-09-08,d877722ca4e40f98,85ee5df9d37a27a6,50000.0,0.844883935656082,1.0,0.5429552927783677
,2021-09-20,d877722ca4e40f98,41face6c4b94dd88,327360.0,0.8443244394444339,1.0,0.5417228987045306
,2021-10-20,d877722ca4e40f98,41face6c4b94dd88,316800.0,0.8443153940262866,1.0,0.5417029744950578
